title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,year,month,day
WWF War Zone,PS,Fighting,Acclaim Entertainment,7,3.36,2.47,0.0,0.76,0.13,1998-07-14,1998,7,14
Assassin's Creed IV: Black Flag,X360,Action-Adventure,Ubisoft,8,3.34,1.9,0.01,1.14,0.3,2013-10-29,2013,10,29
NBA 2K18,PS4,Sports,2K Sports,8,3.34,2.13,0.04,0.57,0.59,2017-09-19,2017,9,19
James Bond 007: Nightfire,PS2,Shooter,Electronic Arts,7,3.33,1.45,0.12,1.29,0.46,2002-11-18,2002,11,18
Star Wars Episode III: Revenge of the Sith,PS2,Action,LucasArts,7,3.32,1.47,0.03,1.39,0.43,2005-05-04,2005,5,4
Max Payne,PS2,Shooter,Rockstar Games,8,3.31,1.99,0.05,1.05,0.22,2001-12-06,2001,12,6
Madden NFL 16,PS4,Sports,EA Sports,8,3.3,2.39,0.0,0.31,0.61,2015-08-25,2015,8,25
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,8,3.28,1.5,0.05,1.28,0.46,2003-11-05,2003,11,5
Madden NFL 17,PS4,Sports,EA Sports,8,3.28,2.3,0.0,0.37,0.6,2016-08-23,2016,8,23
Gran Turismo (PSP),PSP,Racing,Sony Computer Entertainment,7,3.27,0.51,0.31,1.59,0.86,2009-10-01,2009,10,1
Far Cry 3,PS3,Shooter,Ubisoft,7,3.27,0.88,0.1,1.79,0.5,2012-12-04,2012,12,4
True Crime: Streets of LA,PS2,Action,Activision,8,3.27,1.89,0.02,1.05,0.31,2003-11-03,2003,11,3
FIFA 16,XOne,Sports,EA Sports,8,3.25,0.92,0.0,2.1,0.24,2015-09-22,2015,9,22
L.A. Noire,PS3,Adventure,Rockstar Games,9,3.21,1.29,0.12,1.31,0.49,2011-11-15,2011,11,15
007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,6,3.21,1.72,0.0,1.33,0.16,1999-11-16,1999,11,16
WWF SmackDown! 2: Know Your Role,PS,Fighting,THQ,8,3.2,1.76,0.07,1.21,0.16,2000-11-21,2000,11,21
Assassin's Creed IV: Black Flag,PS4,Action-Adventure,Ubisoft,8,3.19,1.07,0.06,1.55,0.51,2013-11-15,2013,11,15
Enter the Matrix,PS2,Action,Atari,6,3.18,1.78,0.09,1.12,0.19,2003-05-14,2003,5,14
