title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,year,month,day
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,8,6.5,2.65,0.16,2.61,1.08,2012-10-30,2012,10,30
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,9,6.49,2.57,0.25,2.68,0.99,2011-11-11,2011,11,11
Minecraft,PS4,Misc,Sony Computer Entertainment,9,6.33,1.89,0.35,3.13,0.96,2014-10-07,2014,10,7
FIFA 15,PS4,Sports,EA Sports,8,6.32,0.83,0.05,4.49,0.94,2014-09-23,2014,9,23
Driver,PS,Action,GT Interactive,8,6.27,3.11,0.02,2.8,0.33,1999-06-30,1999,6,30
Call of Duty: WWII,XOne,Shooter,Activision,8,6.23,3.75,0.0,1.91,0.57,2017-11-03,2017,11,3
Minecraft,PS3,Misc,Sony Computer Entertainment America,5,6.05,2.21,0.0,2.86,0.99,2014-05-16,2014,5,16
Red Dead Redemption 2,XOne,Action-Adventure,Rockstar Games,9,5.77,3.76,0.0,1.47,0.54,2018-10-26,2018,10,26
Destiny,PS4,Shooter,Activision,8,5.76,2.53,0.16,2.13,0.94,2014-09-09,2014,9,9
Tekken 2,PS,Fighting,Namco,9,5.74,2.26,1.36,1.89,0.23,1996-08-25,1996,8,25
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,8,5.66,3.57,0.0,1.57,0.52,2007-11-06,2007,11,6
Cooking Mama,DS,Simulation,Majesco,6,5.66,3.09,0.07,1.92,0.58,2006-09-12,2006,9,12
Assassin's Creed II,PS3,Action,Ubisoft,9,5.57,2.54,0.21,1.95,0.86,2009-11-17,2009,11,17
Assassin's Creed,X360,Action,Ubisoft,8,5.55,3.28,0.07,1.64,0.56,2007-11-13,2007,11,13
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,9,5.54,2.72,0.11,1.89,0.82,2011-10-18,2011,10,18
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,9,5.5,2.99,0.1,1.9,0.51,2009-10-27,2009,10,27
Call of Duty: World at War,PS3,Shooter,Activision,8,5.43,2.75,0.0,1.84,0.84,2008-11-10,2008,11,10
Minecraft,XOne,Misc,Microsoft Studios,5,5.43,3.23,0.0,1.71,0.49,2014-11-18,2014,11,18
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,6,5.42,2.07,0.24,2.29,0.82,2001-10-29,2001,10,29
